"","ID","gene"
"205",NA,NA
"206",NA,NA
"207","MA0112.2","ESR1"
"208","MA0112.3","ESR1"
"209","MA0113.1","NR3C1"
"210",NA,NA
"211",NA,NA
"212",NA,NA
"213",NA,NA
"214","MA0113.2","NR3C1"
"215","MA0113.3","NR3C1"
"216","MA0114.1","HNF4A"
"217","MA0114.2","HNF4A"
"218","MA0114.3","Hnf4a"
"219","MA0114.4","HNF4A"
"220","MA0115.1","NR1H2::RXRA"
"221","MA0116.1","Znf423"
"222","MA0117.1","Mafb"
"223","MA0117.2","Mafb"
"224","MA0119.1","NFIC::TLX1"
"225","MA0122.1","Nkx3-2"
"226","MA0122.2","NKX3-2"
"227","MA0122.3","Nkx3-2"
"228","MA0124.1","NKX3-1"
"229","MA0124.2","Nkx3-1"
"230","MA0125.1","Nobox"
"231","MA0130.1","ZNF354C"
"232","MA0131.1","HINFP"
"233","MA0131.2","HINFP"
"234","MA0132.1","Pdx1"
"235","MA0132.2","PDX1"
"236","MA0135.1","Lhx3"
"237","MA0136.1","ELF5"
"238","MA0136.2","ELF5"
"239","MA0136.3","Elf5"
"240","MA0137.1","STAT1"
"241","MA0137.2","STAT1"
"242","MA0137.3","STAT1"
"243","MA0138.1","REST"
"244","MA0138.2","REST"
"245","MA0139.1","CTCF"
"246","MA0140.1","Gata1::Tal1"
"247","MA0140.2","GATA1::TAL1"
"248","MA0141.1","Esrrb"
"249","MA0141.2","Esrrb"
"250","MA0141.3","ESRRB"
"251","MA0142.1","Pou5f1::Sox2"
"252","MA0143.1","Sox2"
"253","MA0143.2","Sox2"
"254","MA0143.3","Sox2"
"255","MA0143.4","SOX2"
"256","MA0144.1","Stat3"
"257","MA0144.2","STAT3"
"258","MA0145.1","Tfcp2l1"
"259","MA0145.2","Tfcp2l1"
"260","MA0146.1","Zfx"
"261","MA0146.2","Zfx"
"262","MA0147.1","Myc"
"263","MA0147.2","Myc"
"264","MA0147.3","MYC"
"265","MA0148.1","FOXA1"
"266","MA0148.2","FOXA1"
"267","MA0148.3","FOXA1"
"268","MA0148.4","FOXA1"
"269","MA0149.1","EWSR1-FLI1"
"270","MA0150.1","NFE2L2"
"271","MA0150.2","Nfe2l2"
"272","MA0151.1","Arid3a"
"273","MA0152.1","NFATC2"
"274",NA,NA
"275",NA,NA
"276","MA0152.2","Nfatc2"
"277","MA0153.1","HNF1B"
"278",NA,NA
"279","MA0153.2","HNF1B"
"280","MA0154.1","EBF1"
"281","MA0154.2","EBF1"
"282","MA0154.3","EBF1"
"283","MA0154.4","EBF1"
"284","MA0155.1","INSM1"
"285","MA0156.1","FEV"
"286",NA,NA
"287","MA0156.2","FEV"
"288","MA0156.3","FEV"
"289","MA0157.1","FOXO3"
"290",NA,NA
"291","MA0157.2","FOXO3"
"292","MA0157.3","Foxo3"
"293","MA0158.1","HOXA5"
"294",NA,NA
"295","MA0158.2","HOXA5"
"296","MA0159.1","RARA::RXRA"
"297","MA0160.1","NR4A2"
"298",NA,NA
"299",NA,NA
"300","MA0160.2","NR4A2"
"301","MA0161.1","NFIC"
"302","MA0161.2","NFIC"
"303","MA0162.1","Egr1"
"304","MA0162.2","EGR1"
"305","MA0162.3","EGR1"
"306","MA0162.4","EGR1"
"307","MA0163.1","PLAG1"
"308","MA0164.1","Nr2e3"
"309","MA0258.1","ESR2"
"310","MA0258.2","ESR2"
"311","MA0259.1","ARNT::HIF1A"
"312",NA,NA
"313",NA,NA
"314",NA,NA
"315","MA0442.1","SOX10"
"316",NA,NA
"317",NA,NA
"318","MA0442.2","SOX10"
"319","MA0461.1","Atoh1"
