"","ID","gene"
"863","MA0902.2","HOXB2"
"864","MA0903.1","HOXB3"
"865","MA0904.1","Hoxb5"
"866","MA0904.2","HOXB5"
"867","MA0905.1","HOXC10"
"868","MA0906.1","HOXC12"
"869","MA0907.1","HOXC13"
"870","MA0908.1","HOXD11"
"871","MA0909.1","HOXD13"
"872","MA0909.2","HOXD13"
"873","MA0909.3","Hoxd13"
"874","MA0910.1","Hoxd8"
"875","MA0910.2","HOXD8"
"876","MA0911.1","Hoxa11"
"877","MA0912.1","Hoxd3"
"878","MA0912.2","HOXD3"
"879","MA0913.1","Hoxd9"
"880","MA0913.2","HOXD9"
"881","MA0914.1","ISL2"
"882","MA1099.1","Hes1"
"883","MA1099.2","HES1"
"884","MA1100.1","ASCL1"
"885","MA1100.2","ASCL1"
"886","MA1101.1","BACH2"
"887","MA1101.2","BACH2"
"888","MA1102.1","CTCFL"
"889","MA1102.2","CTCFL"
"890","MA1103.1","FOXK2"
"891","MA1103.2","FOXK2"
"892","MA1104.1","GATA6"
"893","MA1104.2","GATA6"
"894","MA1105.1","GRHL2"
"895","MA1105.2","GRHL2"
"896","MA1106.1","HIF1A"
"897","MA1107.1","KLF9"
"898","MA1107.2","KLF9"
"899","MA1108.1","MXI1"
"900","MA1108.2","MXI1"
"901","MA1109.1","NEUROD1"
"902","MA1110.1","NR1H4"
"903","MA1110.2","Nr1H4"
"904","MA1111.1","NR2F2"
"905","MA1112.1","NR4A1"
"906","MA1112.2","NR4A1"
"907","MA1113.1","PBX2"
"908","MA1113.2","PBX2"
"909","MA1114.1","PBX3"
"910","MA1115.1","POU5F1"
"911","MA1116.1","RBPJ"
"912","MA1117.1","RELB"
"913","MA1118.1","SIX1"
"914","MA1119.1","SIX2"
"915","MA1120.1","SOX13"
"916","MA1121.1","TEAD2"
"917","MA1122.1","TFDP1"
"918","MA1123.1","TWIST1"
"919","MA1123.2","TWIST1"
"920","MA1124.1","ZNF24"
"921","MA1125.1","ZNF384"
"922","MA1126.1","FOS::JUN"
"923","MA1127.1","FOSB::JUN"
"924","MA1128.1","FOSL1::JUN"
"925","MA1129.1","FOSL1::JUN"
"926","MA1130.1","FOSL2::JUN"
"927","MA1131.1","FOSL2::JUN"
"928","MA1132.1","JUN::JUNB"
"929","MA1133.1","JUN::JUNB"
"930","MA1134.1","FOS::JUNB"
"931","MA1135.1","FOSB::JUNB"
"932","MA1136.1","FOSB::JUNB"
"933","MA1137.1","FOSL1::JUNB"
"934","MA1138.1","FOSL2::JUNB"
"935","MA1139.1","FOSL2::JUNB"
"936","MA1140.1","JUNB"
"937","MA1140.2","JUNB"
"938","MA1141.1","FOS::JUND"
"939","MA1142.1","FOSL1::JUND"
"940","MA1143.1","FOSL1::JUND"
"941","MA1144.1","FOSL2::JUND"
"942","MA1145.1","FOSL2::JUND"
"943","MA1146.1","NR1H4::RXRA"
"944","MA1147.1","NR4A2::RXRA"
"945","MA1148.1","PPARA::RXRA"
"946","MA1149.1","RARA::RXRG"
"947","MA1150.1","RORB"
"948","MA1151.1","RORC"
"949","MA1152.1","SOX15"
"950","MA1153.1","Smad4"
"951","MA1154.1","ZNF282"
"952","MA1155.1","ZSCAN4"
"953","MA1418.1","IRF3"
"954","MA1419.1","IRF4"
"955","MA1420.1","IRF5"
"956","MA1421.1","TCF7L1"
"957","MA1463.1","ARGFX"
"958","MA1464.1","ARNT2"
"959","MA1466.1","ATF6"
"960","MA1467.1","ATOH1"
"961","MA1467.2","Atoh1"
"962","MA1468.1","ATOH7"
"963","MA1470.1","BACH2"
"964","MA1471.1","BARX2"
"965","MA1472.1","BHLHA15"
"966","MA1472.2","Bhlha15"
"967","MA1473.1","CDX4"
"968","MA1474.1","CREB3L4"
"969","MA1475.1","CREB3L4"
"970","MA1476.1","DLX5"
"971","MA1476.2","Dlx5"
"972","MA1478.1","DMRTA2"
"973","MA1479.1","DMRTC2"
"974","MA1480.1","DPRX"
"975","MA1481.1","DRGX"
"976","MA1483.1","ELF2"
"977","MA1483.2","ELF2"
"978","MA1484.1","ETS2"
"979","MA1485.1","FERD3L"
"980","MA1487.1","FOXE1"
"981","MA1487.2","FOXE1"
"982","MA1489.1","FOXN3"
"983","MA1491.1","GLI3"
"984","MA1491.2","GLI3"
"985","MA1493.1","HES6"
"986","MA1494.1","HNF4A"
"987","MA1495.1","HOXA1"
"988","MA1496.1","HOXA4"
"989","MA1497.1","HOXA6"
"990","MA1498.1","HOXA7"
"991","MA1498.2","HOXA7"
"992","MA1499.1","HOXB4"
"993","MA1500.1","HOXB6"
"994","MA1501.1","HOXB7"
"995","MA1502.1","HOXB8"
"996","MA1503.1","HOXB9"
"997","MA1504.1","HOXC4"
"998","MA1505.1","HOXC8"
"999","MA1506.1","HOXD10"
"1000","MA1507.1","HOXD4"
"1001","MA1508.1","IKZF1"
"1002","MA1509.1","IRF6"
"1003","MA1511.1","KLF10"
"1004","MA1511.2","KLF10"
"1005","MA1512.1","KLF11"
"1006","MA1513.1","KLF15"
"1007","MA1514.1","KLF17"
"1008","MA1515.1","KLF2"
"1009","MA1516.1","KLF3"
"1010","MA1517.1","KLF6"
"1011","MA1518.1","LHX1"
"1012","MA1518.2","Lhx1"
"1013","MA1519.1","LHX5"
"1014","MA1520.1","MAF"
"1015","MA1521.1","MAFA"
"1016","MA1522.1","MAZ"
"1017","MA1523.1","MSANTD3"
"1018","MA1524.1","MSGN1"
"1019","MA1524.2","Msgn1"
"1020","MA1525.1","NFATC4"
"1021","MA1525.2","NFATC4"
"1022","MA1527.1","NFIC"
"1023","MA1528.1","NFIX"
"1024","MA1529.1","NHLH2"
"1025","MA1530.1","NKX6-3"
"1026","MA1531.1","NR1D1"
"1027","MA1532.1","NR1D2"
"1028","MA1532.2","NR1D2"
"1029","MA1533.1","NR1I2"
"1030","MA1534.1","NR1I3"
"1031","MA1535.1","NR2C1"
"1032","MA1536.1","NR2C2"
"1033","MA1537.1","NR2F1"
"1034","MA1538.1","NR2F1"
"1035","MA1539.1","NR2F6"
"1036","MA1540.1","NR5A1"
"1037","MA1540.2","NR5A1"
"1038","MA1541.1","NR6A1"
"1039","MA1542.1","OSR1"
"1040","MA1544.1","OVOL1"
"1041","MA1545.1","OVOL2"
"1042","MA1546.1","PAX3"
"1043","MA1547.1","PITX2"
"1044","MA1547.2","PITX2"
"1045","MA1548.1","PLAGL2"
"1046","MA1549.1","POU6F1"
"1047","MA1550.1","PPARD"
"1048","MA1552.1","RARB"
"1049","MA1553.1","RARG"
"1050","MA1554.1","RFX7"
"1051","MA1555.1","RXRB"
"1052","MA1556.1","RXRG"
"1053","MA1557.1","SMAD5"
"1054","MA1558.1","SNAI1"
"1055","MA1559.1","SNAI3"
"1056","MA1560.1","SOHLH2"
"1057","MA1561.1","SOX12"
"1058","MA1562.1","SOX14"
"1059","MA1563.1","SOX18"
"1060","MA1563.2","SOX18"
"1061","MA1564.1","SP9"
"1062","MA1565.1","TBX18"
"1063","MA1566.1","TBX3"
"1064","MA1566.2","TBX3"
"1065","MA1567.1","TBX6"
"1066","MA1567.2","Tbx6"
"1067","MA1568.1","TCF21"
"1068","MA1569.1","TFAP2E"
"1069","MA1570.1","TFAP4"
"1070","MA1571.1","TGIF2LX"
"1071","MA1572.1","TGIF2LY"
"1072","MA1573.1","THAP11"
"1073","MA1573.2","Thap11"
"1074","MA1574.1","THRB"
"1075","MA1575.1","THRB"
"1076","MA1576.1","THRB"
"1077","MA1577.1","TLX2"
"1078","MA1578.1","VEZF1"
"1079","MA1579.1","ZBTB26"
"1080","MA1580.1","ZBTB32"
"1081","MA1581.1","ZBTB6"
"1082","MA1583.1","ZFP57"
"1083","MA1584.1","ZIC5"
"1084","MA1585.1","ZKSCAN1"
"1085","MA1587.1","ZNF135"
"1086","MA1588.1","ZNF136"
"1087","MA1589.1","ZNF140"
"1088","MA1592.1","ZNF274"
"1089","MA1593.1","ZNF317"
"1090","MA1594.1","ZNF382"
"1091","MA1596.1","ZNF460"
"1092","MA1597.1","ZNF528"
"1093","MA1599.1","ZNF682"
"1094","MA1600.1","ZNF684"
"1095","MA1601.1","ZNF75D"
"1096","MA1601.2","ZNF75D"
"1097","MA1602.1","ZSCAN29"
"1098","MA1603.1","Dmrt1"
"1099","MA1604.1","Ebf2"
"1100","MA1606.1","Foxf1"
"1101","MA1607.1","Foxl2"
"1102","MA1608.1","Isl1"
"1103","MA1615.1","Plagl1"
"1104","MA1616.1","Prdm15"
"1105","MA1618.1","Ptf1a"
"1106","MA1619.1","Ptf1A"
"1107","MA1620.1","Ptf1A"
"1108","MA1621.1","Rbpjl"
"1109","MA1623.1","Stat2"
"1110","MA1624.1","Stat5a"
"1111","MA1625.1","Stat5b"
"1112","MA1627.1","Wt1"
"1113","MA1628.1","Zic1::Zic2"
"1114","MA1629.1","Zic2"
"1115","MA1630.1","Znf281"
"1116","MA1630.2","ZNF281"
"1117","MA1631.1","ASCL1"
"1118","MA1632.1","ATF2"
"1119","MA1633.1","BACH1"
"1120","MA1633.2","BACH1"
"1121","MA1634.1","BATF"
"1122","MA1635.1","BHLHE22"
"1123","MA1636.1","CEBPG"
"1124","MA1637.1","EBF3"
"1125","MA1638.1","HAND2"
"1126","MA1639.1","MEIS1"
"1127","MA1640.1","MEIS2"
"1128","MA1641.1","MYF5"
"1129","MA1642.1","NEUROG2"
"1130","MA1643.1","NFIB"
"1131","MA1644.1","NFYC"
"1132","MA1645.1","NKX2-2"
"1133","MA1646.1","OSR2"
"1134","MA1647.1","PRDM4"
"1135","MA1647.2","Prdm4"
"1136","MA1648.1","TCF12"
"1137","MA1649.1","ZBTB12"
"1138","MA1650.1","ZBTB14"
"1139","MA1651.1","ZFP42"
"1140","MA1652.1","ZKSCAN5"
"1141","MA1653.1","ZNF148"
"1142","MA1654.1","ZNF16"
"1143","MA1655.1","ZNF341"
"1144","MA1656.1","ZNF449"
"1145","MA1657.1","ZNF652"
"1146","MA1683.1","FOXA3"
"1147","MA1684.1","Foxn1"
"1148","MA1707.1","DMRTA1"
"1149","MA1708.1","ETV7"
"1150","MA1709.1","ZIM3"
"1151","MA1710.1","ZNF257"
"1152","MA1711.1","ZNF343"
"1153","MA1712.1","ZNF454"
"1154","MA1713.1","ZNF610"
"1155","MA1714.1","ZNF675"
"1156","MA1715.1","ZNF707"
"1157","MA1716.1","ZNF76"
"1158","MA1717.1","ZNF784"
"1159","MA1718.1","ZNF8"
"1160","MA1719.1","ZNF816"
"1161","MA1720.1","ZNF85"
"1162","MA1721.1","ZNF93"
"1163","MA1722.1","ZSCAN31"
"1164","MA1723.1","PRDM9"
"1165","MA1724.1","Rfx6"
"1166","MA1725.1","ZNF189"
"1167","MA1726.1","ZNF331"
"1168","MA1727.1","ZNF417"
"1169","MA1728.1","ZNF549"
"1170","MA1729.1","ZNF680"
"1171","MA1730.1","ZNF708"
"1172","MA1731.1","ZNF768"
"1173","MA1760.1","TFCP2"
"1174","MA1779.1","TFAP4::ETV1"
"1175","MA1780.1","TFAP4::FLI1"
"1176","MA1781.1","ELK1::SREBF2"
"1177","MA1783.1","ERF::FOXI1"
"1178","MA1784.1","ERF::FOXO1"
"1179","MA1785.1","ETV2::FOXI1"
"1180","MA1786.1","ETV5::FOXI1"
"1181","MA1787.1","ETV5::FOXO1"
"1182","MA1788.1","FLI1::FOXI1"
"1183","MA1789.1","ELK1::HOXA1"
"1184","MA1790.1","ELK1::HOXB13"
"1185","MA1791.1","ERF::HOXB13"
"1186","MA1792.1","ETV2::HOXB13"
"1187","MA1793.1","ETV5::HOXA2"
"1188","MA1794.1","ETV2::DRGX"
"1189","MA1795.1","ETV5::DRGX"
"1190","MA1796.1","ERF::FIGLA"
"1191","MA1797.1","ERF::NHLH1"
"1192","MA1799.1","ETV5::FIGLA"
"1193","MA1800.1","FOS"
"1194","MA1801.1","FOXJ2::ELF1"
"1195","MA1802.1","FOXO1::ELF1"
"1196","MA1803.1","FOXO1::ELK1"
"1197","MA1804.1","FOXO1::ELK3"
"1198","MA1805.1","FOXO1::FLI1"
"1199","MA1807.1","HOXD12::ELK1"
"1200","MA1808.1","FLI1::DRGX"
"1201","MA1809.1","POU2F1::SOX2"
"1202","MA1810.1","MGA::EVX1"
"1203","MA1864.1","ZNF418"
"1204","MA1865.1","ZNF574"
"1205","MA1866.1","PATZ1"
"1206","MA1867.1","ZNF214"
"1207","MA1868.1","ZNF320"
"1208","MA1869.1","ZNF324"
"1209","MA1870.1","KLF7"
"1210","MA1871.1","ZFP14"
"1211","MA1872.1","ZNF354A"
"1212","MA1873.1","ZNF530"
"1213","MA1874.1","ZNF667"
"1214","MA1875.1","ZNF669"
"1215","MA1876.1","ZNF701"
"1216","MA1879.1","NKX2-4"
"1217","MA2020.1","ZBED2"
"1218","MA2021.1","TRPS1"
"1219","MA2022.1","BNC2"
"1220","MA2023.1","ZNF211"
"1221","MA2024.1","SATB1"
"1222","MA2025.1","CTCF"
"1223","MA2026.1","CTCF"
"1224","MA2027.1","ZKSCAN3"
"1225","MA2028.1","ZNF416"
"1226","MA2029.1","ZNF582"
"1227","MA2030.1","ZNF692"
"1228","MA2031.1","SMAD2"
"1229","MA2032.1","SP5"
"1230","MA2033.1","THRA"
"1231","MA2034.1","Bcl11B"
"1232","MA2035.1","Zfp335"
"1233","MA2036.1","Atf3"
"1234","MA2037.1","Six4"
"1235","MA2038.1","Gli1"
"1236","MA2039.1","Prdm5"
"1237","MA2040.1","Prdm14"
"1238","MA2041.1","Nkx2-1"
"1239","MA2042.1","Npas4"
"1240","MA2043.1","Hnf1A"
"1241","MA2044.1","Neurod2"
"1242","MA2045.1","Olig2"
"1243","MA2046.1","Ikzf3"
"1244","MA2047.1","Nr1H2"
